radar_spacing,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
10,control,9,29,0,0.0,16,3,0.1875,0,0,0.0,0.0,0.0,20.200000000000017,29,29,24,17,7,14,1.5327427387237549
10,control,10,29,0,0.0,16,1,0.0625,0,0,0.0,0.0,0.0,9.499999999999982,29,29,21,17,3,14,1.566317081451416
10,control,11,29,0,0.0,17,4,0.23529411764705882,0,0,0.0,0.0,0.0,13.09999999999997,29,29,24,17,5,14,1.5017738342285156
10,control,12,29,0,0.0,14,2,0.14285714285714285,0,0,0.0,0.0,0.0,6.099999999999994,29,29,18,14,3,15,1.5687859058380127
10,control,13,29,0,0.0,16,3,0.1875,0,0,0.0,0.0,0.0,0.8999999999999999,29,29,18,16,1,13,1.5068342685699463
10,control,14,29,0,0.0,15,2,0.13333333333333333,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,16,2,14,1.5551950931549072
10,detection,0,29,29,1.0,24,4,0.16666666666666666,29,291,0.48965517241435036,0.48965517241435036,12.100000000001799,0.0,29,29,29,24,0,5,2.9734411239624023
10,detection,1,29,29,1.0,23,3,0.13043478260869565,29,293,0.4482758620695457,0.32068965517272974,12.100000000001799,1.4000000000000001,29,29,27,23,1,6,3.0380454063415527
10,detection,2,29,29,1.0,22,1,0.045454545454545456,29,291,0.23103448275878985,0.23103448275878985,12.100000000001799,0.0,29,29,28,22,0,7,3.017199993133545
10,detection,3,29,29,1.0,23,1,0.043478260869565216,29,290,0.3068965517243224,0.3068965517243224,12.100000000001799,1.6000000000000003,29,29,29,23,1,6,3.0807912349700928
10,detection,4,29,29,1.0,19,0,0.0,29,291,0.5034482758625127,0.27931034482774775,12.100000000001799,0.0,29,29,28,19,0,10,2.892774820327759
10,detection,5,29,29,1.0,27,1,0.037037037037037035,29,293,0.29655172413838854,0.21034482758635076,12.100000000001799,0.0,29,29,28,27,0,2,3.0248069763183594
10,detection,6,29,29,1.0,27,1,0.037037037037037035,29,292,0.33793103448316475,0.33793103448316475,12.100000000001799,0.0,29,29,28,27,0,2,2.964834213256836
10,detection,7,29,29,1.0,22,0,0.0,29,291,0.5206896551735093,0.2793103448278036,12.100000000001799,0.0,29,29,29,22,0,7,2.9766860008239746
10,detection,8,29,29,1.0,23,0,0.0,29,292,0.14827586206921878,0.14827586206921878,12.100000000001799,0.0,29,29,28,23,0,6,2.903958559036255
10,detection,9,29,29,1.0,19,2,0.10526315789473684,29,290,0.30689655172436353,0.30689655172436353,12.100000000001799,3.900000000000002,29,29,29,19,2,10,2.9375994205474854
10,detection,10,29,29,1.0,19,0,0.0,29,287,0.337931034482906,0.26896551724158946,12.100000000001799,0.0,29,29,28,19,0,10,2.9984114170074463
10,detection,11,29,29,1.0,23,3,0.13043478260869565,29,287,0.42068965517280543,0.3551724137934351,12.100000000001799,0.0,29,29,28,23,0,6,3.020641326904297
10,detection,12,29,29,1.0,19,0,0.0,29,294,0.4482758620695771,0.4241379310351123,12.100000000001799,0.0,29,29,28,19,0,10,2.886101722717285
10,detection,13,29,29,1.0,25,2,0.08,29,291,0.4379310344830836,0.4172413793105946,12.100000000001799,0.0,29,29,29,25,0,4,3.006990432739258
10,detection,14,29,29,1.0,23,1,0.043478260869565216,29,289,0.3482758620696719,0.3034482758626123,12.100000000001799,2.9000000000000012,29,29,29,24,1,6,2.890720844268799
10,aware,0,29,29,1.0,26,0,0.0,29,295,0.37931034482798903,0.32413793103482597,12.100000000001799,3.600000000000002,29,29,28,26,1,3,3.160088300704956
10,aware,1,29,29,1.0,24,1,0.041666666666666664,29,294,0.382758620690342,0.382758620690342,12.100000000001799,0.0,29,29,28,24,0,5,3.0153250694274902
10,aware,2,29,29,1.0,23,2,0.08695652173913043,29,292,0.2862068965520401,0.2586206896555135,12.100000000001799,0.0,29,29,26,23,0,6,3.0352578163146973
10,aware,3,29,29,1.0,24,0,0.0,29,292,0.2758620689659602,0.2758620689659602,12.100000000001799,0.0,29,29,29,24,0,5,2.994154930114746
10,aware,4,29,29,1.0,20,3,0.15,29,291,0.27586206896586124,0.27586206896586124,12.100000000001799,3.0000000000000013,29,29,26,20,1,9,2.945875883102417
10,aware,5,29,29,1.0,24,2,0.08333333333333333,29,291,0.39655172413852885,0.2551724137935692,12.100000000001799,0.0,29,29,27,24,0,5,3.059697389602661
10,aware,6,29,29,1.0,19,2,0.10526315789473684,29,292,0.317241379310709,0.317241379310709,12.100000000001799,2.1000000000000005,29,29,26,19,1,10,2.978994607925415
10,aware,7,29,29,1.0,23,1,0.043478260869565216,29,293,0.4172413793105426,0.4172413793105426,12.100000000001799,0.0,29,29,27,23,0,6,2.940835952758789
10,aware,8,29,29,1.0,20,4,0.2,29,292,0.33793103448347056,0.28275862069027613,12.100000000001799,0.0,29,29,27,20,0,9,3.095536231994629
10,aware,9,29,29,1.0,20,0,0.0,29,288,0.40344827586239,0.39310344827619254,12.100000000001799,0.0,29,29,29,20,0,9,3.004634380340576
10,aware,10,29,29,1.0,24,1,0.041666666666666664,29,291,0.39310344827615235,0.38620689655202073,12.100000000001799,0.0,29,29,29,24,0,5,3.1165380477905273
10,aware,11,29,29,1.0,21,1,0.047619047619047616,29,292,0.4379310344835207,0.3827586206904361,12.100000000001799,0.0,29,29,29,21,0,8,3.005842924118042
10,aware,12,29,29,1.0,23,0,0.0,29,293,0.4068965517244686,0.375862068965735,12.100000000001799,0.0,29,29,29,23,0,6,3.0154640674591064
10,aware,13,29,29,1.0,24,3,0.125,29,291,0.2517241379313142,0.2517241379313142,12.100000000001799,0.0,29,29,27,24,0,5,2.9768621921539307
10,aware,14,29,29,1.0,23,0,0.0,29,292,0.47931034482826756,0.37586206896582225,12.100000000001799,2.2000000000000006,29,29,28,23,1,6,2.934269905090332
15,control,0,29,0,0.0,16,2,0.125,0,0,0.0,0.0,0.0,1.2,29,29,22,16,1,13,1.5960991382598877
15,control,1,29,0,0.0,17,1,0.058823529411764705,0,0,0.0,0.0,0.0,7.999999999999988,29,29,21,17,3,13,1.5345330238342285
15,control,2,29,0,0.0,18,5,0.2777777777777778,0,0,0.0,0.0,0.0,5.999999999999995,29,29,21,18,3,11,1.567981481552124
15,control,3,29,0,0.0,20,5,0.25,0,0,0.0,0.0,0.0,7.39999999999999,29,29,24,21,4,9,1.5888068675994873
15,control,4,29,0,0.0,20,4,0.2,0,0,0.0,0.0,0.0,8.899999999999984,29,29,25,20,3,10,1.5826029777526855
15,control,5,29,0,0.0,22,2,0.09090909090909091,0,0,0.0,0.0,0.0,10.799999999999978,29,29,23,23,5,7,1.505737543106079
15,control,6,29,0,0.0,21,3,0.14285714285714285,0,0,0.0,0.0,0.0,3.2000000000000015,29,29,23,22,2,8,1.6407768726348877
