vehicles_per_dir,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
2,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.152891159057617
2,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.163782835006714
2,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.131218671798706
4,detection,0,29,4,0.13793103448275862,4,0,0.0,4,43,11.550000000007408,0.1499999999998849,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.6310195922851562
4,detection,1,29,6,0.20689655172413793,5,1,0.2,6,62,10.066666666667365,0.34999999999990905,2.5069444444443616,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.4697353839874268
4,detection,2,29,4,0.13793103448275862,4,0,0.0,4,42,7.550000000015359,0.37500000000085265,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.6006171703338623
4,detection,3,29,4,0.13793103448275862,4,0,0.0,4,41,10.775000000019872,0.20000000000050022,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.678004026412964
4,detection,4,29,5,0.1724137931034483,5,2,0.4,5,49,8.780000000006543,0.2800000000002683,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.669931650161743
4,detection,5,29,5,0.1724137931034483,5,0,0.0,5,50,11.320000000018263,0.24000000000005456,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.762165069580078
4,detection,6,29,7,0.2413793103448276,7,1,0.14285714285714285,7,69,9.814285714298146,0.35714285714326316,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.6770272254943848
4,detection,7,29,5,0.1724137931034483,5,1,0.2,5,51,8.240000000018023,0.3600000000006105,2.0847222222221635,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.7322845458984375
4,detection,8,29,7,0.2413793103448276,7,0,0.0,7,71,7.32857142858016,0.18571428571427923,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.621300220489502
4,detection,9,29,4,0.13793103448275862,4,0,0.0,4,40,8.399999999995735,0.1249999999999929,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.5931243896484375
4,detection,10,29,7,0.2413793103448276,7,0,0.0,7,69,10.58571428572902,0.3857142857144546,2.9222222222221155,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.6424448490142822
4,detection,11,29,8,0.27586206896551724,8,0,0.0,8,81,9.31250000001235,0.35000000000008313,3.336111111110981,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.787274122238159
4,detection,12,29,8,0.27586206896551724,7,1,0.14285714285714285,8,79,7.750000000007741,0.5625000000001812,3.3388888888887585,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.631805896759033
4,detection,13,29,4,0.13793103448275862,3,0,0.0,4,42,9.100000000000414,0.42499999999969873,1.669444444444409,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.4992282390594482
4,detection,14,29,5,0.1724137931034483,5,2,0.4,5,50,9.440000000021154,0.2000000000003638,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.6389377117156982
4,aware,0,29,4,0.13793103448275862,4,0,0.0,4,43,11.550000000007408,0.1499999999998849,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.8557162284851074
4,aware,1,29,6,0.20689655172413793,5,1,0.2,6,62,10.066666666667365,0.34999999999990905,2.5069444444443616,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.688692569732666
4,aware,2,29,4,0.13793103448275862,4,0,0.0,4,42,7.550000000015359,0.37500000000085265,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.750576972961426
4,aware,3,29,4,0.13793103448275862,4,0,0.0,4,41,10.775000000019872,0.20000000000050022,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.7705183029174805
4,aware,4,29,5,0.1724137931034483,5,2,0.4,5,49,8.780000000006543,0.2800000000002683,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.7180023193359375
4,aware,5,29,5,0.1724137931034483,5,0,0.0,5,50,11.320000000018263,0.24000000000005456,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.741185188293457
4,aware,6,29,7,0.2413793103448276,7,1,0.14285714285714285,7,69,9.814285714298146,0.35714285714326316,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.7575759887695312
4,aware,7,29,5,0.1724137931034483,5,1,0.2,5,51,8.240000000018023,0.3600000000006105,2.0847222222221635,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.6703343391418457
4,aware,8,29,7,0.2413793103448276,7,0,0.0,7,71,7.32857142858016,0.18571428571427923,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.6941184997558594
4,aware,9,29,4,0.13793103448275862,4,0,0.0,4,40,8.399999999995735,0.1249999999999929,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.491097927093506
4,aware,10,29,7,0.2413793103448276,7,0,0.0,7,69,10.58571428572902,0.3857142857144546,2.9222222222221155,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.5013341903686523
4,aware,11,29,8,0.27586206896551724,8,0,0.0,8,81,9.31250000001235,0.35000000000008313,3.336111111110981,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.399674415588379
4,aware,12,29,8,0.27586206896551724,7,1,0.14285714285714285,8,79,7.750000000007741,0.5625000000001812,3.3388888888887585,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.358400583267212
4,aware,13,29,4,0.13793103448275862,3,0,0.0,4,42,9.100000000000414,0.42499999999969873,1.669444444444409,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.3718388080596924
4,aware,14,29,5,0.1724137931034483,5,2,0.4,5,50,9.440000000021154,0.2000000000003638,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.306311845779419
4,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.1628105640411377
4,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.2382452487945557
4,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.1882247924804688
4,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.1832211017608643
4,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.185708999633789
4,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.223066806793213
4,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.350759744644165
4,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.1764371395111084
4,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.2196099758148193
4,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.150815010070801
4,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.1766304969787598
4,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.1910619735717773
4,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.152891159057617
4,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.163782835006714
4,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.131218671798706
8,detection,0,29,9,0.3103448275862069,9,2,0.2222222222222222,9,181,8.966666666670042,0.38888888888910045,3.755555555555458,100.0,100.0,0.0,0.0,29,9,9,9,0,20,7.619079113006592
8,detection,1,29,2,0.06896551724137931,2,0,0.0,2,40,12.700000000015052,0.5999999999996817,0.8347222222222304,100.0,100.0,0.0,0.0,29,2,2,2,0,27,7.708224058151245
8,detection,2,29,4,0.13793103448275862,4,1,0.25,4,82,9.775000000015837,0.2750000000002899,1.6666666666666312,100.0,100.0,0.0,0.0,29,4,4,4,0,25,7.740261793136597
8,detection,3,29,7,0.2413793103448276,7,2,0.2857142857142857,7,141,10.057142857161969,0.27142857142923404,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,7.844841003417969
8,detection,4,29,8,0.27586206896551724,8,2,0.25,8,161,8.637500000013176,0.14999999999999147,3.3388888888887585,100.0,100.0,0.0,0.0,29,8,8,8,0,21,7.629368305206299
8,detection,5,29,8,0.27586206896551724,8,0,0.0,8,162,9.187500000000782,0.32499999999987494,3.3416666666665362,100.0,100.0,0.0,0.0,29,8,8,8,0,21,7.618495941162109
8,detection,6,29,7,0.2413793103448276,7,0,0.0,7,142,7.171428571436796,0.20000000000033782,2.9222222222221155,100.0,100.0,0.0,0.0,29,7,7,7,0,22,7.778686285018921
8,detection,7,29,4,0.13793103448275862,4,0,0.0,4,81,8.599999999994623,0.17499999999984084,1.6708333333332976,100.0,100.0,0.0,0.0,29,4,4,4,0,25,7.770785808563232
8,detection,8,29,5,0.1724137931034483,5,1,0.2,5,101,7.2600000000126785,0.060000000000127326,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,8.105189323425293
8,detection,9,29,9,0.3103448275862069,9,0,0.0,9,182,8.366666666675314,0.47777777777874536,3.755555555555458,100.0,100.0,0.0,0.0,29,9,9,9,0,20,8.254511833190918
8,detection,10,29,7,0.2413793103448276,7,0,0.0,7,142,8.714285714290343,0.4428571428570324,2.9222222222221155,100.0,100.0,0.0,0.0,29,7,7,7,0,22,8.128838539123535
8,detection,11,29,7,0.2413793103448276,7,1,0.14285714285714285,7,143,8.571428571432794,0.4285714285717209,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,7.936577796936035
8,detection,12,29,7,0.2413793103448276,7,0,0.0,7,142,8.571428571440979,0.18571428571440915,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,8.09489369392395
8,detection,13,29,3,0.10344827586206896,3,0,0.0,3,61,6.966666666667152,0.20000000000027285,1.2513888888888773,100.0,100.0,0.0,0.0,29,3,3,3,0,26,8.16859221458435
8,detection,14,29,8,0.27586206896551724,8,0,0.0,8,164,9.050000000006818,0.23750000000035243,3.3388888888887585,100.0,100.0,0.0,0.0,29,8,8,8,0,21,8.229545831680298
8,aware,0,29,9,0.3103448275862069,9,2,0.2222222222222222,9,181,8.966666666670042,0.38888888888910045,3.755555555555458,100.0,100.0,0.0,0.0,29,9,9,9,0,20,8.194468975067139
