driver_reaction_s,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
1.0,detection,0,29,8,0.27586206896551724,7,0,0.0,8,80,8.762500000008831,0.1875000000001812,3.3388888888887585,100.0,100.0,0.0,0.0,29,9,7,7,0,22,3.5841665267944336
1.0,detection,1,29,4,0.13793103448275862,3,0,0.0,4,41,8.300000000003479,0.1999999999998181,1.6708333333332976,100.0,100.0,0.0,0.0,29,5,3,3,0,26,3.6866612434387207
1.0,detection,2,29,6,0.20689655172413793,5,1,0.2,6,62,8.216666666668553,0.18333333333343185,2.5055555555554725,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.674076795578003
1.0,detection,3,29,7,0.2413793103448276,7,0,0.0,7,70,10.100000000023751,0.6000000000019229,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.7225821018218994
1.0,detection,4,29,5,0.1724137931034483,5,1,0.2,5,49,9.880000000005817,0.19999999999988632,2.087499999999941,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.6859593391418457
1.0,detection,5,29,7,0.2413793103448276,7,0,0.0,7,69,10.685714285725291,0.4000000000002209,2.920833333333227,100.0,100.0,0.0,0.0,29,9,7,7,0,22,3.7236714363098145
1.0,detection,6,29,5,0.1724137931034483,5,0,0.0,5,49,7.780000000007635,0.24000000000016825,2.0847222222221635,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.748915910720825
1.0,detection,7,29,6,0.20689655172413793,6,0,0.0,6,61,8.10000000001852,0.216666666666967,2.499999999999918,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.8377809524536133
1.0,detection,8,29,3,0.10344827586206896,3,0,0.0,3,31,8.833333333327877,0.23333333333319692,1.2513888888888773,100.0,100.0,0.0,0.0,29,3,3,3,0,26,3.70656156539917
1.0,detection,9,29,7,0.2413793103448276,7,0,0.0,7,71,8.385714285724374,0.20000000000013887,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.6677300930023193
1.0,detection,10,29,2,0.06896551724137931,2,0,0.0,2,20,8.899999999991905,0.29999999999972715,0.8361111111111192,100.0,100.0,0.0,0.0,29,2,2,2,0,27,3.6308352947235107
1.0,detection,11,29,6,0.20689655172413793,6,0,0.0,6,60,7.799999999998382,0.3833333333332168,2.5055555555554725,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.627100706100464
1.0,detection,12,29,8,0.27586206896551724,8,0,0.0,8,77,9.150000000006099,0.1875000000001812,3.336111111110981,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.6954052448272705
1.0,detection,13,29,8,0.27586206896551724,8,0,0.0,8,78,8.13750000001053,0.12500000000021316,3.33749999999987,100.0,100.0,0.0,0.0,29,9,8,8,0,21,3.7688534259796143
1.0,detection,14,29,5,0.1724137931034483,5,1,0.2,5,51,7.8200000000155345,0.24000000000087313,2.086111111111052,100.0,100.0,0.0,0.0,29,7,5,5,0,24,3.6666083335876465
1.0,aware,0,29,8,0.27586206896551724,7,0,0.0,8,80,8.762500000008831,0.1875000000001812,3.3388888888887585,100.0,100.0,0.0,0.0,29,9,7,7,0,22,3.874318838119507
1.0,aware,1,29,4,0.13793103448275862,3,0,0.0,4,41,8.300000000003479,0.1999999999998181,1.6708333333332976,100.0,100.0,0.0,0.0,29,5,3,3,0,26,3.7409753799438477
1.0,aware,2,29,6,0.20689655172413793,5,1,0.2,6,62,8.216666666668553,0.18333333333343185,2.5055555555554725,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.88136887550354
1.0,aware,3,29,7,0.2413793103448276,7,0,0.0,7,70,10.100000000023751,0.6000000000019229,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.871563196182251
1.0,aware,4,29,5,0.1724137931034483,5,1,0.2,5,49,9.880000000005817,0.19999999999988632,2.087499999999941,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.914496898651123
1.0,aware,5,29,7,0.2413793103448276,7,0,0.0,7,69,10.685714285725291,0.4000000000002209,2.920833333333227,100.0,100.0,0.0,0.0,29,9,7,7,0,22,3.9665367603302
1.0,aware,6,29,5,0.1724137931034483,5,0,0.0,5,49,7.780000000007635,0.24000000000016825,2.0847222222221635,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.8391950130462646
1.0,aware,7,29,6,0.20689655172413793,6,0,0.0,6,61,8.10000000001852,0.216666666666967,2.499999999999918,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.92997407913208
1.0,aware,8,29,3,0.10344827586206896,3,0,0.0,3,31,8.833333333327877,0.23333333333319692,1.2513888888888773,100.0,100.0,0.0,0.0,29,3,3,3,0,26,3.837907075881958
1.0,aware,9,29,7,0.2413793103448276,7,0,0.0,7,71,8.385714285724374,0.20000000000013887,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.3850128650665283
1.0,aware,10,29,2,0.06896551724137931,2,0,0.0,2,20,8.899999999991905,0.29999999999972715,0.8361111111111192,100.0,100.0,0.0,0.0,29,2,2,2,0,27,3.2629079818725586
1.0,aware,11,29,6,0.20689655172413793,6,0,0.0,6,60,7.799999999998382,0.3833333333332168,2.5055555555554725,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.375131368637085
1.0,aware,12,29,8,0.27586206896551724,8,0,0.0,8,77,9.150000000006099,0.1875000000001812,3.336111111110981,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.3428947925567627
1.0,aware,13,29,8,0.27586206896551724,8,0,0.0,8,78,8.13750000001053,0.12500000000021316,3.33749999999987,100.0,100.0,0.0,0.0,29,9,8,8,0,21,3.3102774620056152
1.0,aware,14,29,5,0.1724137931034483,5,1,0.2,5,51,7.8200000000155345,0.24000000000087313,2.086111111111052,100.0,100.0,0.0,0.0,29,7,5,5,0,24,3.205277442932129
1.0,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.063568115234375
1.0,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.1580824851989746
1.0,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.090182304382324
1.0,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.2090117931365967
1.0,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.2285315990448
1.0,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.160515069961548
1.0,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.1667392253875732
1.0,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.1224842071533203
1.0,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.1065633296966553
1.0,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.1588332653045654
1.0,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.124370574951172
1.0,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.1174120903015137
1.0,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,1.989727258682251
1.0,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.0985753536224365
1.0,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.0478134155273438
1.5,detection,0,29,4,0.13793103448275862,4,0,0.0,4,43,11.550000000007408,0.1499999999998849,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.4044835567474365
1.5,detection,1,29,6,0.20689655172413793,5,1,0.2,6,62,10.066666666667365,0.34999999999990905,2.5069444444443616,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.517958402633667
