radar_spacing,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
10,detection,5,29,6,0.20689655172413793,6,2,0.3333333333333333,6,60,9.166666666667274,0.18333333333346977,2.5069444444443616,100.0,100.0,0.0,0.0,29,6,6,6,0,23,4.4269936084747314
10,detection,6,29,8,0.27586206896551724,8,1,0.125,8,81,10.12500000001451,0.18750000000036948,3.33749999999987,100.0,100.0,0.0,0.0,29,8,8,8,0,21,4.547351121902466
10,detection,7,29,6,0.20689655172413793,6,1,0.16666666666666666,6,60,8.433333333350001,0.6500000000014694,2.499999999999918,100.0,100.0,0.0,0.0,29,6,6,6,0,23,4.5098631381988525
10,detection,8,29,2,0.06896551724137931,2,0,0.0,2,21,5.750000000013756,0.1500000000005457,0.8333333333333414,100.0,100.0,0.0,0.0,29,2,2,2,0,27,4.192769765853882
10,detection,9,29,4,0.13793103448275862,4,0,0.0,4,42,8.899999999998514,0.22500000000029274,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,4.171431303024292
10,detection,10,29,3,0.10344827586206896,3,0,0.0,3,31,6.300000000001849,0.23333333333312112,1.252777777777766,100.0,100.0,0.0,0.0,29,5,3,3,0,26,4.113953590393066
10,detection,11,29,6,0.20689655172413793,6,0,0.0,6,61,8.18333333334463,0.3833333333338989,2.5027777777776947,100.0,100.0,0.0,0.0,29,6,6,6,0,23,4.116104364395142
10,detection,12,29,5,0.1724137931034483,5,0,0.0,5,49,8.09999999999393,0.2799999999997794,2.087499999999941,100.0,100.0,0.0,0.0,29,5,5,5,0,24,4.292261600494385
10,detection,13,29,2,0.06896551724137931,2,0,0.0,2,19,10.849999999995546,0.29999999999972715,0.8347222222222304,100.0,100.0,0.0,0.0,29,3,2,2,0,27,4.302628755569458
10,detection,14,29,4,0.13793103448275862,4,1,0.25,4,40,6.000000000005343,0.15000000000009095,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,4.178943157196045
10,aware,0,29,6,0.20689655172413793,6,0,0.0,6,60,9.650000000018347,0.23333333333389325,2.5027777777776947,100.0,100.0,0.0,0.0,29,6,6,6,0,23,4.244735479354858
10,aware,1,29,5,0.1724137931034483,5,0,0.0,5,50,9.320000000000345,0.19999999999990906,2.087499999999941,100.0,100.0,0.0,0.0,29,6,5,5,0,24,4.519636631011963
10,aware,2,29,6,0.20689655172413793,5,0,0.0,6,60,5.58333333334042,0.600000000000667,2.5027777777776947,100.0,100.0,0.0,0.0,29,6,5,5,0,24,4.563532114028931
10,aware,3,29,4,0.13793103448275862,4,0,0.0,4,40,7.300000000009618,0.30000000000075033,1.669444444444409,100.0,100.0,0.0,0.0,29,5,4,4,0,25,4.5447587966918945
10,aware,4,29,8,0.27586206896551724,8,0,0.0,8,80,8.11250000000436,0.48750000000035243,3.3402777777776476,100.0,100.0,0.0,0.0,29,8,8,8,0,21,4.775716304779053
10,aware,5,29,6,0.20689655172413793,6,2,0.3333333333333333,6,60,9.166666666667274,0.18333333333346977,2.5069444444443616,100.0,100.0,0.0,0.0,29,6,6,6,0,23,4.638713121414185
10,aware,6,29,8,0.27586206896551724,8,1,0.125,8,81,10.12500000001451,0.18750000000036948,3.33749999999987,100.0,100.0,0.0,0.0,29,8,8,8,0,21,4.69767951965332
10,aware,7,29,6,0.20689655172413793,6,1,0.16666666666666666,6,60,8.433333333350001,0.6500000000014694,2.499999999999918,100.0,100.0,0.0,0.0,29,6,6,6,0,23,4.511307001113892
