hesitate_dwell_max,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
1.0,aware,6,29,7,0.2413793103448276,6,0,0.0,7,68,7.9142857142902585,0.5428571428571688,2.9222222222221155,100.0,100.0,0.0,0.0,29,8,6,6,0,23,3.6351535320281982
1.0,aware,7,29,8,0.27586206896551724,8,0,0.0,8,82,8.42500000000469,0.28750000000009734,3.3388888888887585,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.6638264656066895
1.0,aware,8,29,3,0.10344827586206896,2,0,0.0,3,31,7.466666666677914,0.23333333333350006,1.2513888888888773,100.0,100.0,0.0,0.0,29,3,2,2,0,27,3.718249559402466
1.0,aware,9,29,9,0.3103448275862069,9,0,0.0,9,91,8.577777777799204,0.2222222222225854,3.7513888888887905,100.0,100.0,0.0,0.0,29,11,9,9,0,20,3.376707077026367
1.0,aware,10,29,4,0.13793103448275862,4,1,0.25,4,41,9.600000000010937,0.6000000000018417,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.3482658863067627
1.0,aware,11,29,4,0.13793103448275862,4,0,0.0,4,40,7.425000000005099,0.45000000000027995,1.669444444444409,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.3520941734313965
1.0,aware,12,29,8,0.27586206896551724,8,1,0.125,8,78,7.187500000003009,0.12499999999996803,3.3388888888887585,100.0,100.0,0.0,0.0,29,9,8,8,0,21,3.2745673656463623
1.0,aware,13,29,7,0.2413793103448276,7,0,0.0,7,72,8.900000000000963,0.42857142857121744,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.3187406063079834
1.0,aware,14,29,5,0.1724137931034483,5,1,0.2,5,51,9.080000000018481,0.1000000000003638,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.3235340118408203
1.0,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.096674919128418
1.0,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.129049301147461
1.0,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.0891687870025635
1.0,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.135432243347168
1.0,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.15138578414917
1.0,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.071488857269287
1.0,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.1432809829711914
1.0,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.215038537979126
1.0,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.2105584144592285
1.0,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.1766550540924072
1.0,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.217311382293701
1.0,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.1636292934417725
1.0,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.0636415481567383
1.0,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.1406660079956055
1.0,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.062453508377075
2.0,detection,0,29,3,0.10344827586206896,3,0,0.0,3,31,9.800000000009513,0.06666666666678604,1.2499999999999885,100.0,100.0,0.0,0.0,29,3,3,3,0,26,3.4284749031066895
2.0,detection,1,29,7,0.2413793103448276,7,2,0.2857142857142857,7,71,8.728571428582525,0.20000000000046775,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.402831554412842
2.0,detection,2,29,7,0.2413793103448276,7,0,0.0,7,72,9.328571428592536,0.5142857142866433,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.6141698360443115
2.0,detection,3,29,4,0.13793103448275862,4,0,0.0,4,41,9.350000000010027,0.20000000000050022,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.6084744930267334
2.0,detection,4,29,5,0.1724137931034483,5,0,0.0,5,50,9.560000000012632,0.2800000000006776,2.0847222222221635,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.7525413036346436
2.0,detection,5,29,4,0.13793103448275862,4,0,0.0,4,40,9.849999999998204,0.29999999999972715,1.6708333333332976,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.6289544105529785
2.0,detection,6,29,5,0.1724137931034483,5,0,0.0,5,49,9.520000000019332,0.2800000000005639,2.0847222222221635,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.6818456649780273
2.0,detection,7,29,4,0.13793103448275862,4,0,0.0,4,41,6.775000000002429,0.3999999999998991,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.5758249759674072
2.0,detection,8,29,7,0.2413793103448276,7,0,0.0,7,72,9.814285714283935,0.4571428571427987,2.9236111111110046,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.5770270824432373
2.0,detection,9,29,4,0.13793103448275862,4,0,0.0,4,40,11.925000000020354,0.10000000000015774,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.6138741970062256
2.0,detection,10,29,7,0.2413793103448276,7,0,0.0,7,71,10.414285714304892,0.24285714285750665,2.920833333333227,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.534196376800537
2.0,detection,11,29,5,0.1724137931034483,5,0,0.0,5,51,9.400000000010483,0.4000000000005741,2.0847222222221635,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.576516628265381
2.0,detection,12,29,7,0.2413793103448276,7,1,0.14285714285714285,7,69,10.00000000002093,0.3857142857147429,2.9180555555554495,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.5925371646881104
2.0,detection,13,29,5,0.1724137931034483,5,1,0.2,5,50,11.70000000000295,0.21999999999986813,2.087499999999941,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.63911509513855
2.0,detection,14,29,3,0.10344827586206896,3,0,0.0,3,30,8.866666666688616,0.1000000000003638,1.2513888888888773,100.0,100.0,0.0,0.0,29,3,3,3,0,26,3.669210195541382
2.0,aware,0,29,3,0.10344827586206896,3,0,0.0,3,31,9.800000000009513,0.06666666666678604,1.2499999999999885,100.0,100.0,0.0,0.0,29,3,3,3,0,26,3.6528594493865967
2.0,aware,1,29,7,0.2413793103448276,7,2,0.2857142857142857,7,71,8.728571428582525,0.20000000000046775,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.604421615600586
2.0,aware,2,29,7,0.2413793103448276,7,0,0.0,7,72,9.328571428592536,0.5142857142866433,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.6603620052337646
2.0,aware,3,29,4,0.13793103448275862,4,0,0.0,4,41,9.350000000010027,0.20000000000050022,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.583512783050537
2.0,aware,4,29,5,0.1724137931034483,5,0,0.0,5,50,9.560000000012632,0.2800000000006776,2.0847222222221635,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.626772403717041
