mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
aware,9,59,13,0.22033898305084745,12,0,0.0,13,130,8.253846153865465,0.3153846153856206,2.7090277777779184,100.0,100.0,0.0,0.0,59,13,12,12,0,47,6.995710849761963
aware,10,59,14,0.23728813559322035,13,1,0.07692307692307693,14,139,9.921428571452777,0.2428571428574092,2.9194444444446326,100.0,100.0,0.0,0.0,59,14,13,13,0,46,7.087974548339844
aware,11,59,14,0.23728813559322035,14,1,0.07142857142857142,14,141,9.878571428595064,0.450000000000957,2.9180555555557435,100.0,100.0,0.0,0.0,59,14,14,14,0,45,7.048095226287842
aware,12,59,13,0.22033898305084745,12,1,0.08333333333333333,13,129,8.19230769232491,0.43846153846198577,2.711111111111252,100.0,100.0,0.0,0.0,59,13,12,12,0,47,6.8622331619262695
aware,13,59,14,0.23728813559322035,12,1,0.08333333333333333,14,141,8.200000000020491,0.37142857142939484,2.9180555555557435,100.0,100.0,0.0,0.0,59,14,12,12,0,47,6.903432607650757
aware,14,59,15,0.2542372881355932,15,2,0.13333333333333333,15,152,9.360000000029656,0.3200000000010429,3.126388888889124,100.0,100.0,0.0,0.0,59,15,15,15,0,44,6.990525484085083
aware,15,59,12,0.2033898305084746,12,1,0.08333333333333333,12,120,9.200000000027861,0.37500000000125056,2.5006944444445374,100.0,100.0,0.0,0.0,59,14,12,12,0,47,7.098950147628784
aware,16,59,19,0.3220338983050847,17,1,0.058823529411764705,19,189,8.273684210538901,0.3631578947370683,3.962500000000425,100.0,100.0,0.0,0.0,59,19,17,17,0,42,6.2418084144592285
aware,17,59,10,0.1694915254237288,10,0,0.0,10,101,9.580000000020982,0.22000000000030012,2.0847222222222204,100.0,100.0,0.0,0.0,59,11,10,10,0,49,6.215402126312256
aware,18,59,12,0.2033898305084746,11,0,0.0,12,121,7.9666666666839205,0.2250000000006954,2.502083333333427,100.0,100.0,0.0,0.0,59,12,11,11,0,48,6.154466390609741
aware,19,59,17,0.288135593220339,16,2,0.125,17,172,8.823529411787902,0.19411764705947623,3.5430555555558856,100.0,100.0,0.0,0.0,59,17,16,16,0,43,6.162769317626953
