detection_rate_per_sec,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
1.0,control,0,29,0,0.0,8,2,0.25,0,0,0.0,0.0,0.0,5.4999999999999964,29,29,22,8,2,22,1.4836866855621338
1.0,control,1,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,7.19999999999999,29,29,20,9,2,20,1.5550048351287842
1.0,control,2,29,0,0.0,7,1,0.14285714285714285,0,0,0.0,0.0,0.0,0.0,29,29,17,7,0,22,1.556333065032959
1.0,control,3,29,0,0.0,11,1,0.09090909090909091,0,0,0.0,0.0,0.0,0.0,29,29,24,11,0,18,1.4974663257598877
1.0,control,4,29,0,0.0,14,1,0.07142857142857142,0,0,0.0,0.0,0.0,11.699999999999974,29,29,23,14,4,17,1.5143842697143555
1.0,control,5,29,0,0.0,14,0,0.0,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,23,14,1,15,1.4996750354766846
1.0,control,6,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,0.4,29,29,20,11,1,18,1.5542247295379639
1.0,control,7,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,20,11,1,18,1.5254194736480713
1.0,control,8,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,6.499999999999993,29,29,21,11,4,20,1.5524661540985107
1.0,control,9,29,0,0.0,14,3,0.21428571428571427,0,0,0.0,0.0,0.0,10.999999999999977,29,29,22,14,4,16,1.6367759704589844
1.0,control,10,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,7.599999999999989,29,29,19,12,3,17,1.6128931045532227
1.0,control,11,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,5.599999999999996,29,29,20,12,2,18,1.5735738277435303
1.0,control,12,29,0,0.0,11,0,0.0,0,0,0.0,0.0,0.0,11.499999999999975,29,29,21,11,4,19,1.4829294681549072
1.0,control,13,29,0,0.0,12,3,0.25,0,0,0.0,0.0,0.0,7.499999999999989,29,29,25,13,3,17,1.5610847473144531
1.0,control,14,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,12,2,18,1.5282812118530273
1.0,detection,0,29,29,1.0,23,0,0.0,29,291,3.8965517241453744,0.9000000000011759,12.100000000001799,0.0,29,29,28,23,0,6,2.4616384506225586
1.0,detection,1,29,29,1.0,18,1,0.05555555555555555,29,294,2.4310344827615933,0.8137931034490695,12.100000000001799,3.600000000000002,29,29,25,18,1,11,2.497415781021118
1.0,detection,2,29,29,1.0,20,3,0.15,29,290,3.8275862069014166,0.9379310344838148,12.100000000001799,0.0,29,29,26,20,0,9,2.519760847091675
1.0,detection,3,29,29,1.0,18,0,0.0,29,289,3.272413793106323,0.8620689655184547,12.100000000001799,0.0,29,29,27,18,0,11,2.4892802238464355
1.0,detection,4,29,28,0.9655172413793104,17,0,0.0,28,279,3.6071428571485273,1.5535714285733095,11.683333333335037,0.0,29,29,24,17,0,12,2.533068895339966
1.0,detection,5,29,27,0.9310344827586207,19,1,0.05263157894736842,27,272,3.2259259259281343,0.822222222222925,11.266666666668275,0.0,29,29,25,19,0,10,2.4760196208953857
