detection_rate_per_sec,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
0.3,aware,2,29,26,0.896551724137931,21,2,0.09523809523809523,26,261,4.942307692314254,3.1653846153881586,10.848611111112625,2.500000000000001,29,29,26,21,1,8,2.5417914390563965
0.3,aware,3,29,28,0.9655172413793104,25,1,0.04,28,286,5.521428571432786,2.5035714285747823,11.683333333335037,0.0,29,29,27,25,0,4,2.4799036979675293
0.3,aware,4,29,29,1.0,20,1,0.05,29,290,5.534482758626121,3.0620689655213384,12.100000000001799,3.5000000000000018,29,29,24,20,1,9,2.4734065532684326
0.3,aware,5,29,29,1.0,23,1,0.043478260869565216,29,292,4.60000000000788,1.9482758620735523,12.100000000001799,4.000000000000002,29,29,29,23,1,6,2.477233648300171
0.3,aware,6,29,28,0.9655172413793104,22,2,0.09090909090909091,28,280,5.28928571429003,2.9214285714308628,11.683333333335037,0.0,29,29,22,22,0,7,2.47249436378479
0.3,aware,7,29,28,0.9655172413793104,20,3,0.15,28,280,4.26428571428807,2.125000000001222,11.683333333335037,0.0,29,29,27,20,0,9,2.5462939739227295
0.3,aware,8,29,28,0.9655172413793104,23,2,0.08695652173913043,28,278,5.721428571431758,3.4142857142860072,11.683333333335037,3.4000000000000017,29,29,26,24,1,6,2.5122697353363037
0.3,aware,9,29,27,0.9310344827586207,23,1,0.043478260869565216,27,270,5.970370370378671,3.166666666672515,11.266666666668275,2.600000000000001,29,29,25,24,1,6,2.5366036891937256
0.3,aware,10,29,26,0.896551724137931,20,0,0.0,26,261,4.81538461539094,2.057692307694214,10.847222222223737,0.0,29,29,26,20,0,9,2.521259307861328
0.3,aware,11,29,28,0.9655172413793104,19,0,0.0,28,278,4.735714285718501,2.71428571428792,11.683333333335037,0.0,29,29,26,19,0,10,2.505640745162964
0.3,aware,12,29,28,0.9655172413793104,20,1,0.05,28,283,6.050000000005802,4.060714285717415,11.681944444446149,1.5000000000000002,29,29,23,20,1,9,2.5283098220825195
0.3,aware,13,29,25,0.8620689655172413,15,0,0.0,25,253,5.100000000006413,2.8040000000057272,10.431944444445863,0.0,29,29,20,15,0,14,2.5357253551483154
0.3,aware,14,29,25,0.8620689655172413,19,0,0.0,25,251,4.180000000005922,2.1080000000010046,10.431944444445863,0.0,29,29,24,19,0,10,2.5182242393493652
0.5,control,0,29,0,0.0,16,2,0.125,0,0,0.0,0.0,0.0,1.2,29,29,22,16,1,13,1.5000433921813965
0.5,control,1,29,0,0.0,17,1,0.058823529411764705,0,0,0.0,0.0,0.0,7.999999999999988,29,29,21,17,3,13,1.4911084175109863
0.5,control,2,29,0,0.0,18,5,0.2777777777777778,0,0,0.0,0.0,0.0,5.999999999999995,29,29,21,18,3,11,1.5007054805755615
0.5,control,3,29,0,0.0,20,5,0.25,0,0,0.0,0.0,0.0,7.39999999999999,29,29,24,21,4,9,1.4967021942138672
0.5,control,4,29,0,0.0,20,4,0.2,0,0,0.0,0.0,0.0,8.899999999999984,29,29,25,20,3,10,1.5423774719238281
0.5,control,5,29,0,0.0,22,2,0.09090909090909091,0,0,0.0,0.0,0.0,10.799999999999978,29,29,23,23,5,7,1.5448930263519287
0.5,control,6,29,0,0.0,21,3,0.14285714285714285,0,0,0.0,0.0,0.0,3.2000000000000015,29,29,23,22,2,8,1.5855655670166016
0.5,control,7,29,0,0.0,15,3,0.2,0,0,0.0,0.0,0.0,0.6,29,29,18,15,2,14,1.5590167045593262
0.5,control,8,29,0,0.0,15,4,0.26666666666666666,0,0,0.0,0.0,0.0,16.599999999999966,29,29,22,16,7,15,1.5343208312988281
0.5,control,9,29,0,0.0,16,3,0.1875,0,0,0.0,0.0,0.0,20.200000000000017,29,29,24,17,7,14,1.504197359085083
0.5,control,10,29,0,0.0,16,1,0.0625,0,0,0.0,0.0,0.0,9.499999999999982,29,29,21,17,3,14,1.495215654373169
0.5,control,11,29,0,0.0,17,4,0.23529411764705882,0,0,0.0,0.0,0.0,13.09999999999997,29,29,24,17,5,14,1.5395770072937012
0.5,control,12,29,0,0.0,14,2,0.14285714285714285,0,0,0.0,0.0,0.0,6.099999999999994,29,29,18,14,3,15,1.51580810546875
0.5,control,13,29,0,0.0,16,3,0.1875,0,0,0.0,0.0,0.0,0.8999999999999999,29,29,18,16,1,13,1.552196979522705
0.5,control,14,29,0,0.0,15,2,0.13333333333333333,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,16,2,14,1.5855579376220703
0.5,detection,0,29,28,0.9655172413793104,22,3,0.13636363636363635,28,285,4.339285714293844,1.6714285714312018,11.681944444446149,0.0,29,29,26,22,0,7,2.538782835006714
0.5,detection,1,29,29,1.0,17,0,0.0,29,291,2.8931034482781066,1.355172413794708,12.100000000001799,2.1000000000000005,29,29,28,17,1,12,2.4425461292266846
0.5,detection,2,29,29,1.0,21,0,0.0,29,289,3.762068965519967,1.9827586206926346,12.100000000001799,0.0,29,29,27,21,0,8,2.44653582572937
0.5,detection,3,29,29,1.0,22,1,0.045454545454545456,29,291,4.21724137931518,2.348275862071031,12.100000000001799,0.0,29,29,23,22,0,7,2.4462246894836426
0.5,detection,4,29,28,0.9655172413793104,24,1,0.041666666666666664,28,280,3.271428571431531,1.8142857142874729,11.683333333335037,0.0,29,29,27,24,0,5,2.46604061126709
0.5,detection,5,29,28,0.9655172413793104,24,3,0.125,28,282,3.832142857148761,1.9035714285750274,11.683333333335037,0.0,29,29,25,24,0,5,2.478792190551758
0.5,detection,6,29,25,0.8620689655172413,20,1,0.05,25,251,5.312000000004185,2.2800000000026044,10.431944444445863,2.700000000000001,29,29,23,20,1,9,2.5924363136291504
0.5,detection,7,29,28,0.9655172413793104,22,1,0.045454545454545456,28,279,4.000000000003482,1.717857142857771,11.683333333335037,0.0,29,29,28,22,0,7,2.4773123264312744
0.5,detection,8,29,26,0.896551724137931,20,1,0.05,26,261,3.1576923076964243,1.0384615384623703,10.848611111112625,0.0,29,29,24,20,0,9,2.491088390350342
0.5,detection,9,29,29,1.0,23,2,0.08695652173913043,29,288,2.7551724137972955,1.1862068965527015,12.100000000001799,2.600000000000001,29,29,28,23,1,6,2.496915578842163
0.5,detection,10,29,28,0.9655172413793104,24,0,0.0,28,273,5.046428571435064,1.8821428571441072,11.683333333335037,0.0,29,29,26,24,0,5,2.517225980758667
0.5,detection,11,29,29,1.0,23,1,0.043478260869565216,29,290,3.4206896551772177,1.3827586206910505,12.100000000001799,0.0,29,29,28,23,0,6,2.4654734134674072
0.5,detection,12,29,29,1.0,25,2,0.08,29,292,4.717241379317398,2.396551724140204,12.100000000001799,0.0,29,29,28,25,0,4,2.5062832832336426
0.5,detection,13,29,26,0.896551724137931,19,0,0.0,26,265,3.053846153848925,1.8576923076935827,10.848611111112625,0.0,29,29,23,19,0,10,2.462465763092041
0.5,detection,14,29,28,0.9655172413793104,19,3,0.15789473684210525,28,278,4.98214285714879,1.871428571430959,11.681944444446149,3.0000000000000013,29,29,25,19,1,10,2.5158257484436035
0.5,aware,0,29,29,1.0,23,0,0.0,29,295,3.920689655175971,1.0275862068975028,12.100000000001799,0.0,29,29,25,23,0,6,2.43823504447937
0.5,aware,1,29,29,1.0,19,3,0.15789473684210525,29,282,4.4931034482798236,1.7965517241395588,12.100000000001799,2.2000000000000006,29,29,25,19,1,10,2.5226190090179443
0.5,aware,2,29,29,1.0,23,1,0.043478260869565216,29,294,4.589655172418391,2.048275862070093,12.100000000001799,3.4000000000000017,29,29,28,23,1,6,2.461854934692383
0.5,aware,3,29,28,0.9655172413793104,18,1,0.05555555555555555,28,284,5.5107142857197156,2.057142857144623,11.683333333335037,0.0,29,29,25,18,0,11,2.4492809772491455
