size_scale,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
0.5,detection,0,29,29,1.0,21,0,0.0,29,293,2.1758620689667207,0.5000000000007517,12.100000000001799,0.0,29,29,28,21,0,8,2.4788403511047363
0.5,detection,1,29,29,1.0,19,1,0.05263157894736842,29,292,1.9000000000027841,0.43103448275874223,12.100000000001799,0.0,29,29,28,19,0,10,2.4787464141845703
0.5,detection,2,29,29,1.0,15,0,0.0,29,291,2.0000000000006457,0.46551724137986605,12.100000000001799,0.0,29,29,26,15,0,14,2.508162498474121
0.5,detection,3,29,28,0.9655172413793104,19,1,0.05263157894736842,28,282,3.0750000000029494,0.47857142857171703,11.681944444446149,0.0,29,29,24,19,0,10,2.4472551345825195
0.5,detection,4,29,29,1.0,20,1,0.05,29,289,2.8689655172441975,0.5482758620698086,12.100000000001799,0.0,29,29,27,20,0,9,2.4779860973358154
0.5,detection,5,29,29,1.0,21,2,0.09523809523809523,29,292,3.0241379310388252,0.396551724138572,12.100000000001799,0.0,29,29,28,21,0,8,2.502232313156128
0.5,detection,6,29,29,1.0,17,1,0.058823529411764705,29,290,2.086206896555762,0.3586206896556734,12.100000000001799,0.0,29,29,28,17,0,12,2.4722352027893066
0.5,detection,7,29,29,1.0,22,2,0.09090909090909091,29,291,1.9344827586222673,0.44827586206938597,12.100000000001799,1.8000000000000005,29,29,27,22,1,7,2.4839537143707275
0.5,detection,8,29,29,1.0,20,2,0.1,29,293,2.3137931034481327,0.2689655172416453,12.100000000001799,5.599999999999996,29,29,26,20,2,9,2.474078893661499
0.5,detection,9,29,29,1.0,24,2,0.08333333333333333,29,289,3.5103448275895435,0.42413793103504766,12.100000000001799,0.0,29,29,28,24,0,5,2.5421109199523926
0.5,detection,10,29,27,0.9310344827586207,16,0,0.0,27,266,3.1740740740766107,0.4407407407413757,11.265277777779387,0.0,29,29,26,16,0,13,2.427266836166382
0.5,detection,11,29,28,0.9655172413793104,20,1,0.05,28,280,3.1857142857151652,0.38214285714329727,11.683333333335037,2.9000000000000012,29,29,26,20,1,9,2.5367813110351562
0.5,detection,12,29,29,1.0,22,1,0.045454545454545456,29,289,2.9103448275886787,0.42068965517279466,12.100000000001799,0.0,29,29,25,22,0,7,2.415598154067993
0.5,detection,13,29,28,0.9655172413793104,18,0,0.0,28,283,3.3142857142935163,0.3250000000005327,11.683333333335037,0.0,29,29,25,18,0,11,2.427863597869873
0.5,detection,14,29,29,1.0,21,2,0.09523809523809523,29,290,2.7586206896574343,0.2896551724138472,12.100000000001799,1.2,29,29,26,21,1,8,2.4933271408081055
0.5,aware,0,29,29,1.0,19,0,0.0,29,292,2.6206896551738965,0.45517241379356077,12.100000000001799,0.0,29,29,26,19,0,10,2.4835619926452637
0.5,aware,1,29,29,1.0,25,2,0.08,29,292,2.6000000000026335,0.2896551724143451,12.100000000001799,0.0,29,29,29,25,0,4,2.4830236434936523
0.5,aware,2,29,29,1.0,21,1,0.047619047619047616,29,287,2.227586206899371,0.493103448276229,12.100000000001799,0.0,29,29,24,21,0,8,2.4787559509277344
0.5,aware,3,29,29,1.0,19,2,0.10526315789473684,29,294,2.617241379314335,0.3655172413794836,12.100000000001799,0.0,29,29,26,19,0,10,2.4605557918548584
0.5,aware,4,29,28,0.9655172413793104,16,0,0.0,28,280,1.0035714285718456,0.46428571428605736,11.681944444446149,0.0,29,29,24,16,0,13,2.456062078475952
0.5,aware,5,29,29,1.0,17,1,0.058823529411764705,29,294,2.968965517242369,0.3724137931038387,12.100000000001799,0.0,29,29,26,17,0,12,2.4796173572540283
0.5,aware,6,29,29,1.0,17,0,0.0,29,293,2.5862068965532834,0.2862068965519842,12.100000000001799,2.1000000000000005,29,29,25,17,1,12,2.481121778488159
0.5,aware,7,29,28,0.9655172413793104,19,1,0.05263157894736842,28,281,2.100000000002324,0.46785714285734464,11.683333333335037,0.0,29,29,25,19,0,10,2.5328996181488037
0.5,aware,8,29,27,0.9310344827586207,21,2,0.09523809523809523,27,272,1.5000000000014253,0.44814814814831744,11.263888888890497,0.0,29,29,25,21,0,8,2.476841688156128
0.5,aware,9,29,29,1.0,19,1,0.05263157894736842,29,290,2.3103448275900793,0.6448275862078311,12.100000000001799,0.0,29,29,27,19,0,10,2.4728732109069824
0.5,aware,10,29,29,1.0,19,0,0.0,29,292,3.4689655172453433,0.3689655172419072,12.100000000001799,3.900000000000002,29,29,28,19,1,10,2.495764970779419
0.5,aware,11,29,29,1.0,16,2,0.125,29,288,2.831034482761426,0.410344827586899,12.100000000001799,0.0,29,29,28,16,0,13,2.481316566467285
0.5,aware,12,29,28,0.9655172413793104,20,2,0.1,28,282,2.8357142857197553,0.5214285714291539,11.681944444446149,0.0,29,29,27,20,0,9,2.4535415172576904
0.5,aware,13,29,29,1.0,20,0,0.0,29,290,3.400000000004126,0.4379310344831571,12.100000000001799,0.0,29,29,27,20,0,9,2.493562936782837
0.5,aware,14,29,29,1.0,21,3,0.14285714285714285,29,290,2.0310344827607163,0.5172413793105958,12.100000000001799,1.2,29,29,27,21,1,8,2.425598621368408
0.75,control,0,29,0,0.0,8,2,0.25,0,0,0.0,0.0,0.0,5.4999999999999964,29,29,22,8,2,22,1.5211982727050781
0.75,control,1,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,7.19999999999999,29,29,20,9,2,20,1.5297698974609375
0.75,control,2,29,0,0.0,7,1,0.14285714285714285,0,0,0.0,0.0,0.0,0.0,29,29,17,7,0,22,1.507239580154419
